standard_name,Cg-ORF,Cg-length,avg_ess_score,mean_treated_cpm,Sc-ORF,Sc-name,SGD-essentiality,SGD-description,Cg-to-Sc-relationship,pre-WGD-Ancestor,n_pools,pools_present
GWK60_M09383,CAGL0M09449g,3237,0.53,676.778399474247,YBL101C,ECM21,NA,"Protein involved in regulating endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements; ECM21 has a paralog, CSR2, that arose from the whole genome duplication",2-to-2,Anc_7.436,3,"1,2,3"
GWK60_L09251,CAGL0L05984g,378,0.0525,674.3801472580082,NA,NA,NA,NA,1-to-0,NA,3,"1,3,4"
GWK60_A00363,CAGL0A00473g,2361,0.34249999999999997,672.2354181106549,YGL014W,PUF4,NA,Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors,1-to-1,Anc_4.114,4,"1,2,3,4"
GWK60_C04103,CAGL0C04587g,2127,0.2475,670.3742254540705,YJR098C,NA,NA,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1-to-1,Anc_1.114,4,"1,2,3,4"
GWK60_J03839,CAGL0J04026g,3597,0.6025,668.5052955065771,YOR227W,HER1,NA,"Protein of unknown function; required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments; HER1 has a paralog, GIP3, that arose from the whole genome duplication",2-to-2,Anc_8.648,4,"1,2,3,4"
GWK60_M08767,CAGL0M08822g,2364,0.3625,668.1477946431332,YDR258C,HSP78,NA,Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates,1-to-1,Anc_5.618,4,"1,2,3,4"
GWK60_L12903,CAGL0L08888g,3582,0.2375,664.4430134202323,YPL006W,NCR1,NA,"Vacuolar membrane protein; transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein",1-to-1,Anc_8.083,4,"1,2,3,4"
GWK60_L12639,CAGL0L08624g,6255,0.5,664.3644904143669,NA,NA,NA,NA,2-to-1,Anc_8.069,4,"1,2,3,4"
GWK60_K03575,CAGL0K03707g,2733,0.51,662.0998332587673,YMR124W,NA,NA,"Protein of unknown function; GFP-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; interacts with Crm1p in two-hybrid assay; not an essential gene; predicted to have a role in organelle organization; YMR124W has a paralog, YLR031W, that arose from the whole genome duplication",1-to-2,Anc_2.414,4,"1,2,3,4"
GWK60_D03047,CAGL0D02882g,2004,0.35000000000000003,660.4367906494014,YLR006C,SSK1,NA,Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate,1-to-1,Anc_5.230,4,"1,2,3,4"
GWK60_A01155,CAGL0A01243g,1596,0.33999999999999997,650.3781398378804,NA,NA,NA,NA,1-to-0,Anc_5.530,4,"1,2,3,4"
GWK60_F00649,CAGL0F00803g,2517,0.6775,649.938893963605,YOL051W,GAL11,NA,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; affects transcription by acting as target of activators and repressors; forms part of the tail domain of mediator,2-to-1,Anc_7.081,3,"1,3,4"
GWK60_J03003,CAGL0J03212g,1554,0.4,647.120054616005,YER073W,ALD5,NA,Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed,1-to-1,Anc_7.261,4,"1,2,3,4"
GWK60_C03509,CAGL0C03894g,1884,0.43,645.2962408786273,YIL014W,MNT3,NA,"Alpha-1,3-mannosyltransferase; adds the fourth and fifth alpha-1,3-linked mannose residues to O-linked glycans during protein O-glycosylation",1-to-1,Anc_7.123,4,"1,2,3,4"
GWK60_G06963,CAGL0G07271g,588,0.28,645.2899389966175,YML028W,TSA1,NA,"Thioredoxin peroxidase; acts as both a ribosome-associated and free cytoplasmic antioxidant; self-associates to form a high-molecular weight chaperone complex under oxidative stress; deletion results in mutator phenotype; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress; required for telomere length maintenace; TSA1 has a paralog, TSA2, that arose from the whole genome duplication",2-to-2,Anc_5.569,4,"1,2,3,4"
GWK60_E04939,CAGL0E05280g,1056,0.23,644.3144531587501,NA,NA,NA,NA,1-to-0,NA,3,"1,2,3"
GWK60_H06369,CAGL0H06457g,3027,0.295,644.0511550348887,YLR389C,STE23,NA,Metalloprotease; involved in N-terminal processing of pro-a-factor to the mature form; expressed in both haploids and diploids; member of the insulin-degrading enzyme family; homolog Axl1p is also involved in processing of pro-a-factor,1-to-1,Anc_4.246,4,"1,2,3,4"
GWK60_M13255,CAGL0M13321g,687,0.16,641.4189600376969,YHR181W,SVP26,NA,Integral membrane protein of the early Golgi apparatus and ER; involved in COP II vesicle transport; may also function to promote retention of proteins in the early Golgi compartment,1-to-1,Anc_5.057,4,"1,2,3,4"
GWK60_M07293,CAGL0M07315g,1089,0.08,640.6038883953034,YPL057C,SUR1,NA,"Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; forms a complex with regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Csh1p; SUR1 has a paralog, CSH1, that arose from the whole genome duplication",2-to-2,Anc_8.514,4,"1,2,3,4"
GWK60_B03245,CAGL0B03421g,4068,0.2025,639.0467327080981,YLR256W,HAP1,NA,Zinc finger transcription factor; involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,2-to-1,Anc_1.380,4,"1,2,3,4"
GWK60_E04323,CAGL0E04620g,1290,0.305,637.2377436575933,YDR055W,PST1,NA,"Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1; PST1 has a paralog, ECM33, that arose from the whole genome duplication",2-to-2,Anc_3.302,4,"1,2,3,4"
GWK60_I05621,CAGL0I10125g,231,0.2725,634.4300920760068,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_F01067,CAGL0F01265g,1872,0.6225,633.4149163059685,YOL028C,YAP7,NA,"Putative basic leucine zipper (bZIP) transcription factor; YAP7 has a paralog, YAP5, that arose from the whole genome duplication",2-to-2,Anc_7.115,4,"1,2,3,4"
GWK60_A01595,CAGL0A01782g,1707,0.2875,631.5941326809328,YHR092C,HXT4,NA,"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication",2-to-2,Anc_5.394,4,"1,2,3,4"
GWK60_A00715,CAGL0A00825g,1095,0.4175,629.8961462783849,NA,NA,NA,NA,2-to-1,Anc_4.131,3,"1,2,3"
GWK60_D03487,CAGL0D03322g,1638,0.45999999999999996,628.4267506887779,YLR023C,IZH3,NA,"Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family, expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase, overexpression reduces Zap1p activity",1-to-1,Anc_5.197,4,"1,2,3,4"
GWK60_G05335,CAGL0G05522g,279,0.025,626.8177040658849,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_G03289,CAGL0G03421g,3051,0.415,626.7849188586467,YER109C,FLO8,NA,NA,1-to-1,Anc_7.406,4,"1,2,3,4"
GWK60_G05511,CAGL0G05698g,3288,0.2975,624.6853428267775,YDL215C,GDH2,NA,NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels,1-to-1,Anc_2.068,4,"1,2,3,4"
GWK60_M10395,CAGL0M10417g,630,0.21750000000000003,622.0130915117512,YDR003W,RCR2,NA,"Vacuolar protein; presumably functions within the endosomal-vacuolar trafficking pathway, affecting events that determine whether plasma membrane proteins are degraded or routed to the plasma membrane; RCR2 has a paralog, RCR1, that arose from the whole genome duplication",2-to-2,Anc_3.200,4,"1,2,3,4"
GWK60_L16005,CAGL0L12034g,3378,0.475,621.8740064935205,YER176W,ECM32,NA,"DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes",1-to-1,Anc_8.242,4,"1,2,3,4"
GWK60_M05753,CAGL0M05797g,1005,0.085,621.7938895691204,YGL063W,PUS2,NA,"Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification; PUS2 has a paralog, PUS1, that arose from the whole genome duplication",2-to-2,Anc_6.226,4,"1,2,3,4"
GWK60_H02145,CAGL0H02365g,897,0.175,619.7088553421464,YMR262W,NA,NA,Protein of unknown function; interacts weakly with Knr4p; YMR262W is not an essential gene,1-to-1,Anc_8.814,3,"1,2,3"
GWK60_H04521,CAGL0H04631g,1767,0.4225,617.7778168470333,YML007W,YAP1,NA,"Basic leucine zipper (bZIP) transcription factor; required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; Yap1p is degraded in the nucleus after the oxidative stress has passed; mediates resistance to cadmium; relative distribution to the nucleus increases upon DNA replication stress; YAP1 has a paralog, CAD1, that arose from the whole genome duplication",2-to-2,Anc_5.528,4,"1,2,3,4"
GWK60_K06501,CAGL0K06655g,2409,0.47250000000000003,616.6098333688042,YBR212W,NGR1,NA,RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase,1-to-1,Anc_6.104,3,"1,2,3"
GWK60_A01177,CAGL0A01284g,4206,0.355,615.5511608525255,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_H02321,CAGL0H02519g,1155,0.4975,615.5348374784363,YMR253C,NA,NA,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YMR253C is not an essential gene,1-to-1,Anc_8.804,4,"1,2,3,4"
GWK60_M12837,CAGL0M12925g,741,0.2925,615.3067295565611,YHR044C,DOG1,NA,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed, in vivo substrate has not yet been identified; DOG1 has a paralog, DOG2, that arose from a single-locus duplication",1-to-1,Anc_5.290,4,"1,2,3,4"
GWK60_L12969,CAGL0L08954g,1365,0.22749999999999998,613.8975925677855,YPL003W,ULA1,NA,Protein that activates Rub1p (NEDD8) before neddylation; acts together with Uba3p; may play a role in protein degradation,1-to-1,Anc_8.086,4,"1,2,3,4"
GWK60_I01419,CAGL0I05962g,1716,0.41000000000000003,613.2589583145011,YJL146W,IDS2,NA,Protein involved in modulation of Ime2p activity during meiosis; appears to act indirectly to promote Ime2p-mediated late meiotic functions; found in growing cells and degraded during sporulation,1-to-1,Anc_1.204,4,"1,2,3,4"
GWK60_F01199,CAGL0F01419g,4197,0.6625,613.1633842035253,YOR011W,AUS1,NA,"Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication",1-to-2,Anc_7.123a,3,"1,2,3"
GWK60_E05731,CAGL0E06094g,174,0.45,609.9834253417297,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_A01221,CAGL0A01366g,4389,0.4325,608.3492131587883,NA,NA,NA,NA,1-to-0,NA,3,"1,2,3"
GWK60_L13167,CAGL0L09174g,1284,0.275,607.36373968469,YFR005C,SAD1,inviable,Conserved zinc-finger domain protein involved in pre-mRNA splicing; required for assembly of U4 snRNA into the U4/U6 particle,1-to-1,Anc_8.097,3,"1,2,3"
GWK60_E05599,CAGL0E05962g,1947,0.315,606.5719743678594,YPL222W,FMP40,NA,"Putative protein of unknown function; proposed to be involved in responding to environmental stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1-to-1,Anc_6.242,3,"1,2,4"
GWK60_C02035,CAGL0C02431g,2790,0.7775,604.5709451439612,YER032W,FIR1,NA,Protein involved in 3' mRNA processing; interacts with Ref2p; potential Cdc28p substrate,1-to-1,Anc_3.522,3,"1,2,3"
GWK60_J11187,CAGL0J11396g,1260,0.2875,603.7221239640523,YNL187W,SWT21,NA,Protein involved in mRNA splicing; contains a consensus nuclear export signal (NES) sequence similar to the consensus sequence recognized by Crm1p; interacts genetically with Prp40p and Tgs1p; contains WD40 repeats,1-to-1,Anc_2.066,3,"1,3,4"
GWK60_A01265,CAGL0A01430g,2124,0.32999999999999996,603.5867019065715,YGL026C,TRP5,NA,Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis,1-to-1,Anc_4.092,4,"1,2,3,4"
GWK60_M12309,CAGL0M12364g,237,0.10750000000000001,602.8981069120159,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_K02519,CAGL0K02651g,1884,0.4125,602.7794260139286,YHL008C,NA,NA,Putative protein of unknown function; may be involved in the uptake of chloride ions; does not appear to be involved in monocarboxylic acid transport; green fluorescent protein (GFP)-fusion protein localizes to the vacuole,1-to-1,Anc_2.540,4,"1,2,3,4"
GWK60_E04103,CAGL0E04422g,768,0.21,601.1860683533556,YHR012W,VPS29,NA,Subunit of the membrane-associated retromer complex; endosomal protein; essential for endosome-to-Golgi retrograde transport; forms a subcomplex with Vps35p and Vps26p that selects cargo proteins for endosome-to-Golgi retrieval,1-to-1,Anc_5.599,4,"1,2,3,4"
GWK60_G00957,CAGL0G01100g,1569,0.1825,599.7018717448581,YLR345W,NA,NA,Similar to 6-phosphofructo-2-kinase enzymes; mRNA expression is repressed by the Rfx1p-Tup1p-Ssn6p repressor complex; YLR345W is not an essential gene,1-to-1,Anc_4.177,4,"1,2,3,4"
GWK60_I04499,CAGL0I09009g,1023,0.14750000000000002,598.3199919686765,YFR025C,HIS2,NA,"Histidinolphosphatase; catalyzes the eighth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control",1-to-1,Anc_1.351,4,"1,2,3,4"
GWK60_M09207,CAGL0M09273g,885,0.43,598.240536704511,YJR083C,ACF4,NA,Protein of unknown function; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate,1-to-1,Anc_7.451,3,"1,2,3"
GWK60_H09757,CAGL0H09812g,2952,0.13749999999999998,595.8117346790915,YDR006C,SOK1,NA,Protein of unknown function; overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13,1-to-1,Anc_3.195,4,"1,2,3,4"
GWK60_L13255,CAGL0L09251g,849,0.1275,594.9565560891541,YPR005C,HAL1,NA,"Cytoplasmic protein involved in halotolerance; decreases intracellular Na+ (via Ena1p) and increases intracellular K+ by decreasing efflux; expression repressed by Ssn6p-Tup1p and Sko1p and induced by NaCl, KCl, and sorbitol through Gcn4p",1-to-1,Anc_8.102,3,"1,3,4"
GWK60_I03597,CAGL0I08085g,462,0.08,594.9003465785821,YOL071W,EMI5,NA,Subunit of succinate dehydrogenase; complex couples succinate oxidation to ubiquinone reduction; required for FAD cofactor attachment to Sdh1p; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma),1-to-1,Anc_3.144,4,"1,2,3,4"
GWK60_C03047,CAGL0C03443g,1341,0.63,594.6688206010809,YNR050C,LYS9,NA,"Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112",1-to-1,Anc_6.376,4,"1,2,3,4"
GWK60_E02893,CAGL0E03157g,1506,0.49,593.7669835145437,YGR155W,CYS4,NA,"Cystathionine beta-synthase; catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible for hydrogen sulfide generation; advances passage through START by promoting cell growth which requires catalytic activity, and reducing critical cell size independent of catalytic activity; mutations in human ortholog cause homocystinuria",1-to-1,Anc_4.069,3,"1,2,3"
GWK60_E01815,CAGL0E02035g,1596,0.2625,593.5328380964181,YOL119C,MCH4,NA,Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport,1-to-1,Anc_3.053,4,"1,2,3,4"
GWK60_G00209,CAGL0G00308g,1125,0.2125,593.3082236611449,YGR279C,SCW4,NA,"Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating; SCW4 has a paralog, SCW10, that arose from the whole genome duplication",2-to-2,Anc_5.015,4,"1,2,3,4"
GWK60_E02695,CAGL0E02915g,1497,0.23750000000000002,593.2070806226021,NA,NA,NA,NA,2-to-1,Anc_4.089,4,"1,2,3,4"
GWK60_C02717,CAGL0C03113g,1080,0.305,592.3349642063098,YLR270W,DCS1,NA,"Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication",2-to-2,Anc_6.063,3,"2,3,4"
GWK60_J02739,CAGL0J02926g,384,0.5075,592.085607758856,YER058W,PET117,NA,Protein required for assembly of cytochrome c oxidase,1-to-1,Anc_7.239,4,"1,2,3,4"
GWK60_M10527,CAGL0M10571g,1860,0.2475,591.471632423209,YNR019W,ARE2,NA,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication",2-to-2,Anc_6.317,4,"1,2,3,4"
GWK60_H09977,CAGL0H10032g,597,0.2175,591.2324007674663,YBR052C,RFS1,NA,"Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; RFS1 has a paralog, PST2, that arose from the whole genome duplication",2-to-2,Anc_3.261,4,"1,2,3,4"
GWK60_K06699,CAGL0K06853g,1614,0.6225,591.1297247072572,YBR222C,PCS60,NA,"Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation that functions to protect yeast from inhibitory effects of oxalate; peroxisomal protein that binds mRNA; localizes to both peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid; similar to E. coli long chain acyl-CoA synthetase",1-to-1,Anc_6.120,3,"1,2,3"
GWK60_K04719,CAGL0K04873g,2025,0.5525,589.7897743845145,NA,NA,NA,NA,2-to-1,Anc_2.032,3,"1,2,3"
GWK60_M10439,CAGL0M10483g,1299,0.1325,587.4130973933536,YDL001W,RMD1,NA,Cytoplasmic protein required for sporulation,1-to-1,Anc_3.209,4,"1,2,3,4"
GWK60_H01507,CAGL0H01705g,411,0.055,585.6987829041185,YDR519W,FPR2,NA,Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress,1-to-1,Anc_1.028,4,"1,2,3,4"
GWK60_I05093,CAGL0I09592g,1179,0.057499999999999996,585.5689065915682,YOR303W,CPA1,NA,"Small subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader",1-to-1,Anc_8.776,4,"1,2,3,4"
GWK60_A00979,CAGL0A01089g,1608,0.65,585.229687816643,YPL272C,PBI1,NA,Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene,1-to-1,Anc_6.008,4,"1,2,3,4"
GWK60_C04389,CAGL0C04895g,2070,0.3,585.0239476425389,YJR110W,YMR1,NA,"Phosphatidylinositol 3-phosphate (PI3P) phosphatase; involved in various protein sorting pathways, including CVT targeting and endosome to vacuole transport; has similarity to the conserved myotubularin dual specificity phosphatase family",1-to-1,Anc_7.491,4,"1,2,3,4"
GWK60_M10131,CAGL0M10175g,4431,0.48,582.8874916022928,YKL010C,UFD4,NA,"Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress",1-to-1,Anc_2.497,4,"1,2,3,4"
GWK60_J02629,CAGL0J02816g,1878,0.245,582.5750141568101,YER049W,TPA1,NA,"Poly(rA)-binding protein; involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate",1-to-1,Anc_7.220,3,"1,2,3"
GWK60_L12837,CAGL0L08822g,3096,0.5625,580.3759232439897,YPL009C,TAE2,NA,"Component of the ribosome quality control complex (RQC); RQC (Rqc1p-Rkr1p-Tae2p-Cdc48p-Npl4p-Ufd1p) is a ribosome-bound complex required for the degradation of polypeptides arising from stalled translation involved in protein translation; monitors translation stress and signals this to Hsf1p; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",1-to-1,Anc_8.075,3,"1,2,3"
GWK60_E01507,CAGL0E01727g,1620,0.2875,580.066067544718,NA,NA,NA,NA,1-to-0,NA,3,"1,2,3"
GWK60_M11363,CAGL0M11440g,1728,0.235,574.5762494512145,YLR098C,CHA4,NA,DNA binding transcriptional activator; mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain,1-to-1,Anc_8.283,4,"1,2,3,4"
GWK60_I02915,CAGL0I07425g,840,0.325,572.3784413679649,YOL104C,NDJ1,NA,"Meiosis-specific telomere protein; required for bouquet formation, effective homolog pairing, ordered cross-over distribution, sister chromatid cohesion at meiotic telomeres, chromosomal segregation and telomere-led rapid prophase movement",1-to-1,Anc_3.082,3,"2,3,4"
GWK60_L09537,CAGL0L05676g,6636,0.3475,570.4114088642757,YJL130C,URA2,NA,Carbamoylphosphate synthetase-aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP; CPSase is short for carbamoylphosphate synthetase and ATCase is short for aspartate transcarbamylase,1-to-1,Anc_1.223,4,"1,2,3,4"
GWK60_C04741,CAGL0C05225g,2634,0.48250000000000004,569.8493181645399,YOL063C,CRT10,NA,Protein involved in transcriptional regulation of RNR2 and RNR3; expression of the gene is induced by DNA damage and null mutations confer increased resistance to hydroxyurea; N-terminal region has a leucine repeat and a WD40 repeat,1-to-1,Anc_3.163,3,"1,2,3"
GWK60_B03707,CAGL0B03861g,885,0.2625,568.5662448826919,YJR011C,NA,NA,Putative protein of unknown function; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS,1-to-1,Anc_5.150,4,"1,2,3,4"
GWK60_E01793,CAGL0E02013g,1310,0.505,566.281163110771,YOL120C,RPL18A,inviable,"Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication",1-to-2,Anc_3.052,3,"1,2,3"
GWK60_C01419,CAGL0C01815g,1473,0.235,563.4252721557385,YBL086C,NA,NA,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,1-to-1,Anc_7.414,4,"1,2,3,4"
GWK60_G00539,CAGL0G00682g,651,0.445,562.7547465022841,YAR002C-A,ERP1,NA,"Member of the p24 family involved in ER to Golgi transport; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication",2-to-2,Anc_4.124,3,"1,2,4"
GWK60_J08217,CAGL0J08371g,1869,0.2175,557.6760876088888,YNL279W,PRM1,NA,Pheromone-regulated multispanning membrane protein; involved in membrane fusion during mating; predicted to have 5 transmembrane segments and a coiled coil domain; localizes to the shmoo tip; regulated by Ste12p,1-to-1,Anc_1.065,4,"1,2,3,4"
GWK60_H10373,CAGL0H10406g,4263,0.2375,557.0022373295564,YDL112W,TRM3,NA,2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs,1-to-1,Anc_2.325,4,"1,2,3,4"
GWK60_I05797,CAGL0I10362g,5319,0.87,556.2393510283729,NA,NA,NA,NA,1-to-0,NA,3,"1,3,4"
GWK60_K02365,CAGL0K02519g,645,0.14250000000000002,555.3371603716153,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_M01353,CAGL0M01452g,1605,0.4325,553.0752675502034,YDR323C,PEP7,NA,"Adaptor protein involved in vesicle-mediated vacuolar protein sorting; multivalent adaptor protein; facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion, which are essential for targeting of vesicles to the endosome; required for vacuole inheritance",1-to-1,Anc_5.364,3,"2,3,4"
GWK60_E02079,CAGL0E02299g,1638,0.425,552.8899652551859,YOL013C,HRD1,NA,Ubiquitin-protein ligase; required for endoplasmic reticulum-associated degradation (ERAD) of misfolded proteins; genetically linked to the unfolded protein response (UPR); regulated through association with Hrd3p; contains an H2 ring finger; likely plays a general role in targeting proteins that persistently associate with and potentially obstruct the ER-localized translocon,1-to-1,Anc_6.045,4,"1,2,3,4"
GWK60_C00209,CAGL0C00385g,2562,0.46499999999999997,551.2450544843011,YLR095C,IOC2,NA,Subunit of the Isw1b complex; exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing; contains a PHD finger motif; other complex members are Isw1p and Ioc4p,1-to-1,Anc_8.278,3,"1,3,4"
GWK60_G09691,CAGL0G09977g,4587,0.34249999999999997,549.5804486365535,YPR184W,GDB1,NA,"Glycogen debranching enzyme; contains glucanotranferase and alpha-1,6-amyloglucosidase activities; required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p; protein abundance increases in response to DNA replication stress",1-to-1,Anc_7.541,4,"1,2,3,4"
GWK60_L14553,CAGL0L10582g,3297,0.57,549.3755366240661,YMR196W,NA,NA,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene,2-to-1,Anc_6.286,4,"1,2,3,4"
