Standard name,Common name,Sc ortholog,Essential in Sc,Sc synthetic lethals,Sc fitness,Essential in albicans,Sp ortholog,Essential in Sp,Hits,Reads,Length,Neighborhood index,100 bp upstream hits,Max free region,Freedom index,Logit FI,Kornmann FI,Type,Description
C5_02410C_A,,,,,,,,,25,2261,519,0.9932941482106904,1,85,0.16377649325626203,0.15730015171130826,0.0,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52200, C. parapsilosis CDC317 : CPAR2_502480, Candida tenuis NRRL Y-1498 : CANTEDRAFT_115972 and Debaryomyces hansenii CBS767 : DEHA2G19976g"
C5_02420W_A,,,,,,,,,0,0,311,0.0,1,311,1.0,0.7521291114395702,0.0,long_terminal_repeat,Long terminal repeat (LTR); about 300 bp long
C5_02430W_A,ZCF22,,,,,No,gsf1,No,82,12176,2100,0.8991154846736794,3,153,0.07285714285714286,0.07285714244893912,0.333166761749828,ORF|Uncharacterized,Predicted Zn(II)2Cys6 transcription factor
C5_02440C_A,,BUD32,,,1.0020,No,bud32,Yes,2,2,891,0.05110938444271778,2,664,0.745230078563412,0.7444872605947702,0.0,ORF|Uncharacterized,Ortholog(s) have protein serine/threonine kinase activity
C5_02450W_A,,VID30,,,0.9892,,,,33,2326,2346,0.32568374000599065,0,378,0.16112531969309463,0.16112531961596802,0.199226013075758,ORF|Uncharacterized,"Ortholog(s) have role in negative regulation of gluconeogenesis, proteasome-mediated ubiquitin-dependent protein catabolic process, regulation of nitrogen utilization and GID complex, cytoplasm, nucleus localization"
C5_02460C_A,ECM331,,,,,No,meu10,No,17,1184,1242,0.3258501468220138,2,303,0.24396135265700483,0.2439540755363353,0.2547829530601601,ORF|Verified,"GPI-anchored protein; mainly at plasma membrane, also at cell wall; Hap43, caspofungin-induced; Plc1-regulated; Hog1, Rim101-repressed; colony morphology-related regulated by Ssn6; induced by ketoconazole and hypoxia"
C5_02470W_A,INT1,BUD4,,,1.0520,No,mid2,No,86,7479,5565,0.393329885560462,3,201,0.0391812865497076,0.0391812865497076,0.12919969288124347,ORF|Verified,"Protein structurally similar to alpha-subunit of human leukocyte integrin; role in morphogenesis, adhesion, and mouse cecal colonization and systemic virulence; similar to S. cerevisiae Bud4; Hap43-induced gene"
C5_02480W_A,,FIP1,,,,No,iss1,Yes,4,291,981,0.09748589537852868,3,655,0.6676860346585117,0.6674152922739625,0.0,ORF|Verified,Puttaive pre-mRNA polyadenylation factor; heterozygous null mutant exhibits hypersensitivity to parnafungin and cordycepin in the C. albicans fitness test
C5_02490C_A,TIF5,TIF5,,,,,tif5,Yes,0,0,1263,0.0,0,1263,1.0,0.9999758209542826,0.0,ORF|Uncharacterized,Putative translation initiation factor; repressed upon phagocytosis by murine macrophage; Spider biofilm repressed
C5_02500C_A,,JSN1,,No,0.9825,No,puf1,No,27,2211,1443,0.3823345376743435,1,230,0.15939015939015938,0.1593895223315943,0.23790928855130739,ORF|Uncharacterized,"Ortholog(s) have mRNA binding activity and role in cellular protein complex localization, establishment of mitochondrion localization, nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
C5_02510C_A,,,,,,,,,20,1875,1164,0.35489012479652743,4,285,0.24484536082474226,0.24482942902590343,0.23972177123541358,ORF|Uncharacterized,Has domain(s) with predicted nucleotide binding activity
C5_02520W_A,,,,,,,,,16,1017,906,0.3441322116818806,6,159,0.17549668874172186,0.17534610534758563,0.26284861933326514,ORF|Uncharacterized,Protein of unknown function; induced during chlamydospore formation in both C. albicans and C. dubliniensis; flow model biofilm induced
C5_02530W_A,UAP1,QRI1,,,,No,uap1,No,1,1,1461,0.012843634677994705,0,1145,0.783709787816564,0.7837071714390738,0.0,ORF|Verified,"UDP-N-acetylglucosamine pyrophosphorylase, catalyzes biosynthesis of UDP-N-acetylglucosamine from UTP and N-acetylglucosamine 1-phosphate; functional homolog of S. cerevisiae Qri1p; alkaline upregulated"
C5_02540C_A,SPR28,,,,,No,spn3,No,37,4676,1375,0.5648633121939616,0,135,0.11421319796954314,0.11420699041027409,0.0,ORF|Uncharacterized,"Septin; similar to S. cerevisiae meiotic/sporulation septin; mutant has no obvious phenotype; two introns with noncanonical branch site and 5' splice site, respectively; splicing inhibited upon exposure to alpha-factor"
C5_02550C_A,UTP13,UTP13,,,,No,utp13,Yes,2,120,2400,0.014110305958132046,0,1770,0.7375,0.7374999997942767,0.0,ORF|Verified,Putative U3 snoRNA-associated protein; Hap43-induced; repressed in core stress response; physically interacts with TAP-tagged Nop1
C5_02560C_A,,,,,,No,SPAC10F6.14c,No,31,2077,1755,0.29495638521766787,10,343,0.19544159544159545,0.1954415609480585,0.2913560629971262,ORF|Uncharacterized,"Has domain(s) with predicted ATP binding, protein kinase activity and role in protein phosphorylation"
C5_02570W_A,MNN13,,,,,No,,,33,2484,2295,0.2603808310327741,1,502,0.21873638344226579,0.2187363832679039,0.23381768846660766,ORF|Uncharacterized,"Predicted alpha-1,3-mannosyltransferase activity with a role in protein glycosylation; regulated by Sef1p-, Sfu1p-, and Hap43p"
C5_02580W_A,,,,,,,,,3,187,306,0.15310721062618596,3,103,0.3366013071895425,0.24999060838619816,0.0,ORF|Uncharacterized,Predicted ORF from Assembly 19; removed from Assembly 20; subsequently reinstated in Assembly 21 based on comparative genome analysis
C5_02590C_A,,SLS1,,,0.5090,,sls1,No,4,161,2757,0.022332107454901905,0,2462,0.892999637286906,0.8929996372798924,0.0,ORF|Uncharacterized,Putative mitochondrial membrane protein; ortholog of S. cerevisiae Sls1; coordinates expression of mitochondrially-encoded genes; Hap43-induced
C5_02600W_A,PUT1,PUT1,,,1.0408,,put1,No,14,220,1470,0.16218671679197996,0,249,0.16938775510204082,0.1693872382803089,0.18754219089179158,ORF|Uncharacterized,Putative proline oxidase; alkaline upregulated by Rim101; flow model biofilm induced; Spider biofilm induced
C5_02610C_A,RAD9,RAD9,,,0.9820,No,crb2,No,53,2863,3525,0.2837225921715121,15,284,0.08056737588652482,0.08056737588652453,0.15903650803278307,ORF|Verified,DNA damage-dependent checkpoint protein; involved in regulation of DNA-damage-induced filamentous growth; induced by alpha pheromone in SpiderM medium
C5_02620C_A,,BYE1,,,0.9992,,cti6,No,39,3268,2010,0.38805970149253727,6,261,0.12985074626865672,0.12985074447922834,0.2518798961355395,ORF|Uncharacterized,"Ortholog(s) have chromatin binding, methylated histone binding activity and role in negative regulation of transcription from RNA polymerase II promoter"
C5_02630C_A,MNN1,,,,,No,,,46,4914,2403,0.3695399269431729,2,188,0.07823553890969621,0.07823553888851764,0.21438752961074475,ORF|Uncharacterized,"Putative alpha-1,3-mannosyltransferase; of the mannosyltransferase complex; negatively regulated by Rim101; transcript elevated in chk1 and nik1 mutants, but not in sln1 mutant; Spider and flow model biofilm induced"
C5_02640W_A,,,,,,,,,21,1578,651,0.6592592592592592,5,91,0.13978494623655913,0.13826425236320472,0.0,ORF|Uncharacterized,Protein of unknown function; Spider biofilm induced; rat catheter biofilm repressed
C5_02650C_A,IFH1,,,,,No,,,4,482,2658,0.029089321086851683,0,2080,0.782543265613243,0.7825432655967025,0.0,ORF|Verified,Transcription factor; forms a heterodimer with Fhl11 that is tethered to promoters by Tbf1; positively regulates rRNA and ribosomal protein gene transcription; Spider biofilm induced
C5_02660C_A,,,,,,,eif6,Yes,2,77,1008,0.03926574276683686,0,865,0.8581349206349206,0.8578692633718784,0.0,ORF|Uncharacterized,Ortholog(s) have role in cytoplasmic translational initiation
C5_02670W_A,BUR2,BUR2,,,0.2260,No,pch1,Yes,14,1005,1581,0.17130627099743997,6,527,0.3333333333333333,0.333332998158414,0.28394904708024177,ORF|Uncharacterized,"Protein with similarity to S. cerevisiae Bur2p, contains a cyclin domain; not required for wild-type hyphal growth, adherence to buccal epithelial cells, or virulence in mouse systemic infection"
C5_02680W_A,,,,,,,,,16,1112,975,0.30265881875380557,6,182,0.18666666666666668,0.1865862960114861,0.1897231213083453,ORF|Uncharacterized,Protein of unknown function; flow model biofilm induced; Spider biofilm induced
C5_02690W_A,,,,,,No,fmd2,No,17,2021,1098,0.27684045745097186,3,423,0.38524590163934425,0.3851974041893066,0.2957665947673169,ORF|Uncharacterized,Putative oxidoreductase; Hap43-repressed gene; clade-associated gene expression
C5_02700W_A,CTA7,STB4,,,0.9603,,prt1,No,31,2836,2505,0.20622570950053917,0,376,0.1500998003992016,0.15009980038454976,0.22896077435018253,ORF|Verified,Zn(II)2Cys6 transcription factor; activates transcription in 1-hybrid assay in S. cerevisiae; has similarity to S. cerevisiae Stb4
C5_02710W_A,TRR1,TRR1,,NaN,,No,trr1,No,2,15,963,0.030566391937108448,0,812,0.8431983385254413,0.8427890288822746,0.0,ORF|Verified,"Thioredoxin reductase; regulated by Tsa1/Tsa1B, Hap43; induced by nitric oxide, peroxide; oxidative stress-induce via Cap1; induced by human neutrophils; stationary phase enriched protein"
C5_02720W_A,PEP12,PEP12,,,0.3010,No,pep12,,12,1197,831,0.2080754065273255,11,272,0.32731648616125153,0.3267224938075118,0.26399173214631844,ORF|Verified,"Predicted target membrane receptor (t-SNARE) involved in vacuolar transport, endocytosis, and secretion; required for biofilm formation in RPMI-1640 and for virulence"
C5_02730C_A,,CIA1,,,,No,SPAC806.02c,Yes,0,0,1152,0.0,2,1152,1.0,0.9999266357183623,0.0,ORF|Uncharacterized,"Ortholog(s) have role in iron-sulfur cluster assembly, tRNA wobble uridine modification and cytosol, nucleus localization"
C5_02740W_A,,CYC2,,,0.9313,,cyc2,No,13,262,1668,0.11622766303086562,11,658,0.39448441247002397,0.3944842462869952,0.2526604515444254,ORF|Uncharacterized,"Ortholog(s) have oxidoreductase activity, role in cytochrome c-heme linkage, mitochondrial membrane organization and extrinsic component of mitochondrial inner membrane localization"
C5_02750C_A,,HIR2,,,0.9718,No,hip1,No,30,2426,3054,0.14529513532533792,8,337,0.11034708578912901,0.11034708578908455,0.1871742393211576,ORF|Uncharacterized,"Ortholog(s) have DNA binding, nucleosome binding, transcription corepressor activity"
C5_02760W_A,CKB2,CKB2,,No,0.8242,No,ckb1,No,2,242,804,0.03758525254522092,0,679,0.8445273631840796,0.8425208501435122,0.0,ORF|Verified,"Regulatory subunit of protein kinase CK2 (casein kinase II), beta' subunit; null mutants are hypersensitive to caspofungin"
C5_02770W_A,MSW1,MSW1,,,0.3070,Yes,msw1,Yes,4,12,1200,0.05186274509803922,15,1036,0.8633333333333333,0.8632941398400201,0.0,ORF|Uncharacterized,"Protein similar to S. cerevisiae Msw1p, which is mitochondrial tryptophanyl-tRNA synthetase; Hap43p-repressed gene; likely to be essential for growth, based on an insertional mutagenesis strategy"
C5_02780W_A,,SPT21,,,NaN,,,,11,1140,2445,0.07342419938146616,0,1687,0.6899795501022495,0.6899795499795267,0.18251783922781828,ORF|Uncharacterized,"Ortholog(s) have role in chromatin silencing at rDNA, chromatin silencing at silent mating-type cassette, chromatin silencing at telomere, regulation of transcription from RNA polymerase II promoter and nucleus localization"
C5_02790C_A,GAP1,,,,,No,per1,No,22,2038,1749,0.2229715187603128,3,343,0.19611206403659234,0.19611202728444624,0.2649804754563597,ORF|Verified,"Amino acid permease; antigenic in human/mouse; 10-12 transmembrane regions; regulated by nitrogen source; alkaline, GlcNAc, phagocytosis induced; WT virulence in mice; Spider and flow model biofilm induced"
C5_02800C_A,,,,,,,,,32,3960,723,0.9025826732050799,10,177,0.24481327800829875,0.24350964297320002,0.0,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52590, C. parapsilosis CDC317 : CPAR2_100565, Debaryomyces hansenii CBS767 : DEHA2G06908g and Candida guilliermondii ATCC 6260 : PGUG_02858"
C5_02810W_A,,LSM8,,,,,lsm8,No,9,986,510,0.416178107606679,10,391,0.8866213151927438,0.8135519106847757,0.0,ORF|Uncharacterized,"Ortholog(s) have RNA binding activity, role in mRNA splicing, via spliceosome and U4/U6 x U5 tri-snRNP complex, U6 snRNP, nucleolus localization"
C5_02820C_A,,MDE1,,,1.0292,No,SPAC20H4.05c,No,9,846,813,0.22466459763935387,3,149,0.18327183271832717,0.18287379310204752,0.18558146025367833,ORF|Uncharacterized,"Ortholog(s) have methylthioribulose 1-phosphate dehydratase activity, role in L-methionine biosynthetic process from methylthioadenosine and cytosol, nucleus localization"
C5_02830W_A,,DID2,,,0.9313,No,did2,No,44,3850,879,1.1917016968211507,9,154,0.1751990898748578,0.17500221784437156,0.6888577153603465,ORF|Uncharacterized,"Ortholog(s) have role in late endosome to vacuole transport via multivesicular body sorting pathway, protein targeting to vacuole and late endosome localization"
C5_02840C_A,HSL1,HSL1,,,1.0083,No,cdr2,No,51,3724,4389,0.30556358557190677,1,313,0.07131465026201868,0.07131465026201868,0.15768177372095996,ORF|Verified,Probable protein kinase involved in determination of morphology during the cell cycle of both yeast-form and hyphal cells via regulation of Swe1p and Cdc28p; required for full virulence and kidney colonization in mouse systemic infection
C5_02850W_A,,,,,,,,,5,648,146,0.8570205479452054,4,57,0.3904109589041096,0.14374446704823426,0.0,snoRNA|Uncharacterized,H/ACA box small nucleolar RNA (snoRNA)
C5_02860C_A,GRP2,,,,,No,SPAC513.07,No,8,315,1026,0.21332354303796358,1,421,0.41033138401559455,0.4102252755596445,0.0,ORF|Verified,"Methylglyoxal reductase; regulation associated with azole resistance; induced in core stress response or by oxidative stress via Cap1, fluphenazine, benomyl, by Hap43 or with long term fluconazole treatment; Spider biofilm induced"
C5_02870C_A,,,,,,,,,11,367,483,0.6533653658346028,0,141,0.2919254658385093,0.2756580950146132,0.31813420399332104,ORF|Dubious,Dubious open reading frame
C5_02880W_A,,,,,,,,,5,260,198,0.7011289364230541,0,94,0.47474747474747475,0.23500007912141427,0.0,long_terminal_repeat,"Long terminal repeat (LTR); about 194 bp long, 14 copies per genome"
C5_02890W_A,YNK1,YNK1,,,1.0157,No,ndk1,No,10,514,456,0.591035515618314,4,165,0.3618421052631579,0.3358772051019321,0.35121967934313525,ORF|Verified,Nucleoside diphosphate kinase (NDP kinase); homo-hexameric; soluble protein in hyphae; flucytosine induced; biofilm induced; macrophage-induced protein; stationary phase enriched protein; Spider biofilm repressed
C5_02900W_A,,SPT8,,,NaN,No,spt8,No,4,157,2313,0.04837679307741448,8,1929,0.833981841763943,0.8339818412086601,0.0,ORF|Uncharacterized,"Ortholog(s) have TBP-class protein binding, transcription cofactor activity"
C5_02910C_A,GYP8,GYP8,,,0.9843,No,gyp10,No,20,797,2283,0.2325861375588189,5,532,0.23302671922908455,0.2330267190196484,0.15767744704657577,ORF|Uncharacterized,"Ortholog(s) have GTPase activator activity, role in vesicle-mediated transport and intracellular localization"
C5_02920W_A,,,,,,No,,,23,1787,1191,0.5263870051023702,4,245,0.20570948782535683,0.20569926962452986,0.23390336814050147,ORF|Verified,"Trimethyllysine dioxygenase, the first enzyme in the carnitine biosynthesis pathway; hypha-induced expression, regulated by Cyr1, Ras1, Efg1; rat catheter biofilm repressed"
C5_02930C_A,GRE3,GRE3,,No,1.0267,No,SPAC26F1.07,No,14,1021,1116,0.3057628286075078,3,237,0.21236559139784947,0.21234326076516602,0.3075499392232678,ORF|Uncharacterized,"Putative D-xylose reductase; antigenic in murine systemic infection; soluble protein in hyphae; induced by farnesol, macrophage interaction and by Mnl1 under weak acid stress; stationary-phase enriched protein; Spider biofilm induced"
C5_02940C_A,MIG1,MIG1,,,1.0050,?,scr1,,3,151,1713,0.04258340814434355,1,1282,0.7483946293053123,0.7483944282780147,0.0,ORF|Verified,"C2H2 transcription factor; repressor; regulates genes for carbon source utilization; Tup1-dependent and independent functions; hyphal, Hap43 and caspofungin repressed; Spider and flow model biofilm induced"
C5_02950C_A,,,,,,,,,4,110,381,0.24859855481027837,1,212,0.5564304461942258,0.4781751111400619,0.0,ORF|Dubious,Ortholog of Candida albicans WO-1 : CAWG_04676
C5_02960C_A,,,,,,,,,5,116,453,0.2633563168270061,3,148,0.32671081677704195,0.3026055547523955,0.0,ORF|Dubious,Ortholog of Candida albicans WO-1 : CAWG_04677
C5_02970W_A,DAP2,DAP2,,No,0.9862,No,dpp2,No,28,2311,2517,0.2517075666291138,2,403,0.16011124354390147,0.1601112435300397,0.21774324747604865,ORF|Uncharacterized,Putative dipeptidyl aminopeptidase; transcriptionally regulated during macrophage response
C5_02980C_A,,YPT35,,,0.9855,,,,9,716,504,0.4205020920502092,10,157,0.3115079365079365,0.297287234497703,0.25771619755840924,ORF|Uncharacterized,Ortholog(s) have phosphatidylinositol-3-phosphate binding activity and endosome localization
C5_02990W_A,,,,,,No,,,10,597,555,0.41963812552047847,11,143,0.25765765765765763,0.2504631927006803,0.26156921641888115,ORF|Uncharacterized,"Has domain(s) with predicted NADH dehydrogenase (ubiquinone) activity, electron carrier activity and membrane localization"
C5_03000C_A,,,,,,No,,,44,2300,3432,0.295014245014245,3,460,0.13403263403263405,0.13403263403263282,0.2372253193355218,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52760, C. parapsilosis CDC317 : CPAR2_303150, Candida tenuis NRRL Y-1498 : CANTEDRAFT_133407 and Debaryomyces hansenii CBS767 : DEHA2G08030g"
C5_03010W_A,,SNU66,,,0.9485,No,,,5,185,2022,0.05557114978479963,0,1106,0.5469831849653808,0.5469831782799636,0.0,ORF|Uncharacterized,"Ortholog(s) have role in mRNA splicing, via spliceosome, maturation of 5S rRNA and U4/U6 x U5 tri-snRNP complex localization"
C5_03020W_A,CCC2,CCC2,,,1.0225,No,ccc2,No,48,2080,3615,0.2838964631495752,2,448,0.12392807745504841,0.12392807745504822,0.17556822304289096,ORF|Verified,"Copper-transporting P-type ATPase of Golgi; required for wild-type iron assimilation (indirect effect via Fet3p); induced by iron starvation, ciclopirox olamine; caspofungin repressed; not required for virulence in mouse systemic infection"
C5_03030W_A,,,,,,,,,18,2261,2073,0.218180234162113,1,461,0.22238301977809938,0.2223830181459272,0.13311560630235564,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52790, Candida tropicalis MYA-3404 : CTRG_05968 and Candida albicans WO-1 : CAWG_04684"
C5_03040W_A,,,,,,,,,14,1066,1593,0.22082816334842864,0,379,0.2379158819836786,0.2379156698054038,0.17549416991955566,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52800, C. parapsilosis CDC317 : CPAR2_303110, Candida tenuis NRRL Y-1498 : CANTEDRAFT_92321 and Debaryomyces hansenii CBS767 : DEHA2G07964g"
C5_03050C_A,PGA58,,,,,,,,13,1580,723,0.453542244736909,2,160,0.22130013831258644,0.2201217111622147,0.2414032475458637,ORF|Uncharacterized,Putative GPI-anchored protein; transcription is positively regulated by Tbf1p
C5_03060C_A,TNA1,TNA1,,,0.9617,,SPAC1002.16c,Yes,24,2299,1533,0.39306510589657506,4,297,0.19373776908023482,0.19373745425600833,0.20912198773924917,ORF|Verified,Putative nicotinic acid transporter; detected at germ tube plasma membrane by mass spectrometry; transcript induced upon phagocytosis by macrophage; rat catheter biofilm induced
C5_03070W_A,RPS5,RPS5,,,,No,rps502,No,0,0,678,0.0,0,678,1.0,0.9916739069015661,0.0,ORF|Verified,Ribosomal protein S5; macrophage/pseudohyphal-induced after 16 h; downregulated upon phagocytosis by murine macrophage; Hap43-induced; Spider biofilm repressed
C5_03080C_A,,ESBP6,,No,1.0225,No,,,28,2367,2016,0.37929481850928237,0,323,0.16021825396825398,0.16021825188892028,0.2264296632869151,ORF|Uncharacterized,"Predicted membrane transporter; monocarboxylate porter (MCP) family, major facilitator superfamily (MFS); Spider biofilm induced; rat catheter biofilm repressed"
C5_03090W_A,VPS4,VPS4,,NaN,0.6287,No,vps4,No,8,279,1320,0.16284945123213918,1,511,0.38712121212121214,0.38711591862224076,0.19283547158879893,ORF|Verified,"AAA-ATPase involved in transport from MVB to the vacuole and ESCRT-III complex disassembly; mutation decreases SAP secretion and virulence in murine intravenous infection; regulated by Gcn2p, Gcn4p; required for normal Rim8p processing"
C5_03100C_A,,,,,,,,,11,428,999,0.3213186871081608,11,215,0.21521521521521522,0.21514231766521644,0.1964823558774943,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_52890, C. parapsilosis CDC317 : CPAR2_501970, Candida tenuis NRRL Y-1498 : CANTEDRAFT_113546 and Debaryomyces hansenii CBS767 : DEHA2E09900g"
C5_03110C_A,,SMX3,,,,,smf1,Yes,0,0,458,0.0,0,384,1.0,0.8629487074245404,0.0,ORF|Uncharacterized,"Ortholog(s) have role in mRNA splicing, via spliceosome and U1 snRNP, U2 snRNP, U4/U6 x U5 tri-snRNP complex, U5 snRNP, cytosol, spliceosomal complex localization"
C5_03120W_A,,GAB1,,,,No,gab1,Yes,3,12,1449,0.0609997042295179,0,755,0.5210489993098689,0.5210470380332434,0.0,ORF|Uncharacterized,Ortholog(s) have role in attachment of GPI anchor to protein and GPI-anchor transamidase complex localization
C5_03130W_A,SUT1,SUT1,,No,1.0143,,,,13,1177,1071,0.3602766106442577,6,213,0.19887955182072828,0.1988467563722921,0.18841820337299434,ORF|Uncharacterized,Zn2Cys6 transcription factor involved in sterol uptake; flow model biofilm induced; Spider biofilm repressed
C5_03140C_A,,SEC16,,,,No,,,6,393,6276,0.026123882787140378,0,3424,0.5455704270235819,0.5455704270235819,0.0,ORF|Uncharacterized,"Ortholog(s) have protein anchor activity, role in COPII vesicle coating, macroautophagy, protein localization to endoplasmic reticulum exit site and ER to Golgi transport vesicle membrane, endoplasmic reticulum exit site localization"
C5_03150W_A,,PRR1,,,0.9880,No,ppk27,No,23,2570,1920,0.3309455692488263,3,396,0.20625,0.20624999300916816,0.24413354185326838,ORF|Uncharacterized,Putative serine/threonine protein kinase; Hog1p-induced
C5_03160W_A,MED14,RGR1,,,,?,med14,Yes,6,94,3786,0.045243256708839295,0,1324,0.3497094558901215,0.3497094558901214,0.07126716699038203,ORF|Uncharacterized,RNA polymerase II mediator complex subunit
C5_03170C_A,,NBA1,,,0.9953,,,,27,1007,2448,0.3074804645105275,4,220,0.08986928104575163,0.0898692810302395,0.15448270969685549,ORF|Uncharacterized,Protein of unknown function; transcript repressed by elevated CO2; Spider biofilm induced
C5_03180W_A,,,,,,,,,11,443,2894,0.12757247299312552,0,794,0.27436074637180374,0.2743607463712562,0.12647303075533553,repeat_region,"Repeat sequence of about 8 kb, part of the Major Repeat Sequence (MRS) on Chromosome 5; MRS units are found on most chromosomes; only partial MRS sequences are present on chromosome 5 in Assembly 21 likely due to assembly error"
C5_03190W_A,,,,,,,,,32,2248,7554,0.13793782113912573,0,3000,0.3971405877680699,0.3971405877680699,0.2066571159378605,repeat_region,Major Repeat Sequence (MRS) on Chromosome 5; MRS units are composed of variable numbers of RPS units flanked by HOK and RB2 sequences; only partial MRS sequences are present on chromosome 5 in Assembly 21 likely due to assembly error
C5_03200C_A,,,,,,,,,5,54,1548,0.10840813273493811,0,605,0.39082687338501293,0.3908263267540916,0.0,repeat_region,Ca3 region on Chromosome 5; Ca3 is a large dispersed repeat sequence utilized as species-specific and strain-specific RFLP probe
C5_03210C_A,,,,,,,,,0,0,2124,0.0,0,2124,1.0,0.9999999955926842,0.0,ORF|Uncharacterized,Protein of unknown function
C5_03220C_A,,,,,,,,,2,306,192,0.3571277495769881,0,143,0.7447916666666666,0.35750793936329067,0.0,long_terminal_repeat,"Long terminal repeat (LTR) associated with the transposon Tca10; about 192 bp long, 11 copies per genome"
C5_03230W_A,,,,,,,,,3,12,433,0.2434949961508853,0,281,0.648960739030023,0.591418257795427,0.0,repeat_region,"Repeat sequence of about 6 kb, part of the Major Repeat Sequence (MRS) on Chromosome 5; MRS units are found on most chromosomes; only partial MRS sequences are present on chromosome 5 in Assembly 21 likely due to assembly error"
C5_03240W_A,BUB3,BUB3,,,0.6950,No,bub3,No,12,1176,1122,0.32628146602321634,1,310,0.27629233511586454,0.27626497419538143,0.25128507410635337,ORF|Uncharacterized,Protein similar to S. cerevisiae Bub3; a kinetochore checkpoint component; induced by hydroxyurea treatment; flow model biofilm induced; Spider biofilm induced
C5_03250W_A,RMS1,RKM4,,,1.0200,,set13,No,18,1843,1659,0.33442307521000547,9,377,0.22724532851115128,0.2272452237649521,0.20111750733411124,ORF|Uncharacterized,"Putative lysine methyltransferase; Hap43-induced; protein induced during mating; possibly essential, disruptants not obtained by UAU1 method; rat catheter and Spider biofilm induced"
C5_03260C_A,,,,,,No,trp1322,No,31,2292,3282,0.2984613652660612,7,423,0.12888482632541134,0.12888482632540602,0.17938359529883113,ORF|Uncharacterized,Protein with a transient receptor potential (TRP) ion channel domain; mutants are viable; rat catheter and Spider biofilm induced; flow model biofilm repressed
C5_03270W_A,TEF4,,,,,,SPCC1183.02,No,13,459,660,0.6114920834644018,3,205,0.3106060606060606,0.3075149706322494,0.32124876885210724,ORF|Uncharacterized,"Putative translation elongation factor; genes encoding ribosomal subunits, translation factors, and tRNA synthetases are downregulated upon phagocytosis by murine macrophage"
C5_03280W_A,CAM1-1,,,,,No,SPAC29A4.02c,No,14,899,1257,0.3341288782816229,2,288,0.22911694510739858,0.22911106272320383,0.24251712967959466,ORF|Uncharacterized,Putative translation elongation factor; downregulated upon phagocytosis by murine macrophages; Hap43-induced gene; Spider biofilm repressed
C5_03290C_A,,MRP10,,,0.6340,,mrp10,Yes,0,0,288,0.0,0,288,1.0,0.7068222210935676,0.0,ORF|Uncharacterized,Mitochondrial ribosomal protein of the small subunit; Spider biofilm repressed
C5_03300C_A,,,,,,,,,10,980,2298,0.1271667969377969,0,1005,0.43733681462140994,0.4373368142830976,0.18255218441260113,ORF|Uncharacterized,Protein of unknown function; rat catheter biofilm induced
C5_03310C_A,PCL1,PCL1,,No,NaN,No,,,9,407,1122,0.22880306755850546,0,224,0.19964349376114082,0.1996237232895659,0.16786928552911723,ORF|Verified,Cyclin homolog; transcript induced by filamentous growth; induced by alpha pheromone in SpiderM medium
C5_03320C_A,ZCF14,,,,,No,SPBC16G5.16,No,12,755,1587,0.24225278665015318,3,426,0.2684310018903592,0.26843074769489483,0.17860988026873933,ORF|Verified,Putative Zn(II)2Cys6 transcription factor; caspofungin induced
C5_03330C_A,ZCF13,,,,,No,SPAC3H8.08c,No,41,4744,3729,0.348384285331188,2,549,0.14722445695897024,0.14722445695897018,0.20039664482769004,ORF|Verified,Predicted Zn(II)2Cys6 transcription factor; similar to but not the true ortholog of S. cerevisiae Hap1; mutants display decreased colonization of mouse kidneys
C5_03340W_A,,,,,,,,,22,1863,321,2.1471552713559596,5,52,0.16199376947040497,0.12478363037515046,0.0,ORF|Dubious,Ortholog of Candida albicans WO-1 : CAWG_04710
C5_03350W_A,QCR2,QCR2,,,0.7510,No,qcr2,No,0,0,1125,0.0,0,1125,1.0,0.9999038975845005,0.0,ORF|Verified,Ubiquinol-cytochrome-c reductase; antigenic; induced by interaction with macrophage; repressed by nitric oxide; in detergent-resistant membrane fraction (possible lipid raft component); levels decrease in stationary phase; Hap43p-repressed
C5_03360W_A,RPO26,RPO26,,,,No,rpb6,Yes,0,0,474,0.0,0,474,1.0,0.9393460966843479,0.0,ORF|Verified,Putative RNA polymerase subunit; heterozygous null mutant exhibits resistance to parnafungin in the C. albicans fitness test
C5_03370C_A,,MLC2,,,1.0260,,,,5,313,516,0.37325078022752445,5,372,0.7209302325581395,0.691589054401966,0.0,ORF|Uncharacterized,"Ortholog(s) have myosin II binding activity, role in actomyosin contractile ring contraction and cellular bud neck contractile ring, myosin II complex localization"
C5_03380W_A,ARP1,ARP1,,Yes,0.8872,No,act1,Yes,0,0,1245,0.0,0,1245,1.0,0.99997105256468,0.0,ORF|Uncharacterized,Putative centractin; induced upon adherence to polystyrene
